Frame,Ours,Qlab,%diff,
1,114,107.67,5.879074951,aortic area cm^2
2,97,103.02,5.843525529,3.5
3,124,103.48,19.82991882,
4,99,94.3,4.984093319,
5,94,86.41,8.78370559,
6,90,81.46,10.48367297,
7,71,73.48,3.375068046,
8,52,69.4,25.07204611,
9,47,64.19,26.77987225,
10,51,60.54,15.75817641,
11,39,56.96,31.53089888,
12,50,54.73,8.642426457,
13,37,54.85,32.54329991,
14,37,51.02,27.47941984,
15,37,52.56,29.6042618,
16,41,56.08,26.89015692,
17,46,64.58,28.77051719,
18,57,76.91,25.88740086,
19,75,83.09,9.736430377,
20,79,90.4,12.61061947,
21,72,91.75,21.52588556,
22,82,93.48,12.28070175,
23,72,97.26,25.97162246,
24,60,99.47,39.68030562,
25,79,102.66,23.0469511,
